PokerStars Tournament #2253368313, No Limit Hold'em
Buy-In: $4.10/$0.40 USD
115 players
Total Prize Pool: $471.50 USD 
Tournament started 2018/03/18 15:26:52 ET

  1: .duvernaschi (Brazil), still playing
  2: 11sia99 (Russia), still playing
  3: 19781502 (Latvia), still playing
  4: Alcoholix20 (Germany), still playing
  5: BCEOTEU, (Ukraine), still playing
  6: BRMK1ng (Germany), still playing
  7: BmwX5turbo (Estonia), still playing
  8: Bubskiller87 (Czech Republic), still playing
  9: Calcife® (Czech Republic), still playing
  10: CesarAAnd (Brazil), still playing
  11: Chechegami (Venezuela), still playing
  12: Danijo680 (Switzerland), still playing
  13: DionataPZZ (Brazil), still playing
  14: Dragonu664 (United Kingdom), still playing
  15: ElPutre (Austria), still playing
  16: Fefu77 (Argentina), still playing
  17: Gyptia (Russia), still playing
  18: HD_M24 (Belarus), still playing
  19: II S.A.W. II (Germany), still playing
  20: JIeni4 (Belarus), still playing
  21: Kashchei19 (Russia), still playing
  22: MICABEN (Argentina), still playing
  23: Michilodian (Germany), still playing
  24: Milo GT7 (Brazil), still playing
  25: Nikolay369 (Ukraine), still playing
  26: Paulino8247 (Switzerland), still playing
  27: Peder01 (United Kingdom), still playing
  28: Roginho2601 (Brazil), still playing
  29: SCCPdk (Japan), still playing
  30: SamChil (Germany), still playing
  31: Smoking8 (Germany), still playing
  32: Soveluman (Russia), still playing
  33: The KatanaGr (Greece), still playing
  34: TheLegend700 (Canada), still playing
  35: ThiagoMTs (Brazil), still playing
  36: VAIO-Fer (Netherlands), still playing
  37: Wagner GT (Brazil), still playing
  38: Wizard13k (Russia), still playing
  39: X!DoMyBestX (Ukraine), still playing
  40: Zigslick (Iceland), still playing
  41: aasmv (Chile), still playing
  42: b0rnew0lf (Netherlands), still playing
  43: bernardo85 (Brazil), still playing
  44: blynkyclau (Romania), still playing
  45: drehds420 (Brazil), still playing
  46: edusouto (Brazil), still playing
  47: evYpe (Russia), still playing
  48: gorki (Denmark), still playing
  49: guccichris (Germany), still playing
  50: haleyjones (Brazil), still playing
  51: hoesch (Switzerland), still playing
  52: ipotapchik (Belarus), still playing
  53: kamijaa (Brazil), still playing
  54: ldanifpcra (Uruguay), still playing
  55: lorini (Germany), still playing
  56: loustros (Greece), still playing
  57: loveren66 (Russia), still playing
  58: michelpc2392 (Brazil), still playing
  59: pitbulljay20 (Germany), still playing
  60: pospecm@post.cz (Czech Republic), still playing
  61: puh66 (Russia), still playing
  62: rafa_santel (Brazil), still playing
  63: ragnarstars7 (Argentina), still playing
  64: rdc3m (United Kingdom), still playing
  65: ryguy456 (Canada), still playing
  66: sam izh (Russia), still playing
  67: scraby1987 (Greece), still playing
  68: simcal64 (United Kingdom), still playing
  69: srtnt1 (Czech Republic), still playing
  70: stars_Bob (Ukraine), still playing
  71: tTxbrazza (Brazil), still playing
  72: thiago_velez (Argentina), still playing
  73: twirls92 (Hungary), still playing
  74: viajesalvaje (Argentina), still playing
  75: zanate1 (Denmark), still playing
  76: ollikahn23 (Germany), 
  77: Blind&Crazy (Lithuania), 
  78: trololo_pl (Poland), 
  79: WagwanFam (United Kingdom), 
  80: Fernando91 (Brazil), 
  81: Josielmpp (Brazil), 
  82: NineBe (Brazil), 
  83: Piero Morán (Peru), 
  84: Geovanignn (Brazil), 
  85: lindaboom (Canada), 
  86: Hayabusa_ru (Russia), 
  87: Thiagosgc (Brazil), 
  88: bonigbi (Brazil), 
  89: Playmo23 (Belgium), 
  90: 11Maedhros11 (Russia), 
  91: TulioMB (Brazil), 
  92: FunkiManki (Moldova), 
  93: Trèvle (Germany), 
  94: edsonluiz.RO (Brazil), 
  95: Himik0702 (Russia), 
  96: Sch0rs3 (Germany), 
  97: bom bana3233 (Brazil), 
  98: Hawmis (Finland), 
  99: adimog (Romania), 
  100: Kaifat74 (Russia), 
  101: Poko12345 (Netherlands), 
  102: flokinho86 (Greece), 
  103: tommasi_BR (Brazil), 
  104: Zhenya310 (Russia), 
  105: davdav23 (Belgium), 
  106: Carverdemon (Germany), 
  107: Gioiatpkmj (Brazil), 
  108: mr.Kian (Germany), 
  109: Gregório26 (Brazil), 
  110: mafia_godfather (United Kingdom), 
  111: kuraStar (Russia), 
  112: Brucki25 (Germany), 
  113: crazyluckyman (Russia), 
  114: Mr.Marcinho1 (Brazil), 
  115: epukas (Norway), 

You finished in 76th place (eliminated at hand #184039264658).


